x,y,r,g,b,opacity
110,5,33,59,178,1.0
111,5,33,59,178,1.0
112,5,33,59,178,1.0
113,5,33,59,178,1.0
114,5,33,59,178,1.0
115,5,32,59,178,1.0
116,5,32,59,178,1.0
117,5,33,59,178,1.0
118,5,33,59,178,1.0
119,5,33,59,178,1.0
120,5,33,59,178,1.0
121,5,33,59,178,0.9
122,5,32,59,178,0.7
123,5,32,59,178,0.4
124,5,33,58,177,0.1
125,5,31,59,177,0.0
12,6,31,57,177,0.0
13,6,33,59,177,0.5
14,6,33,59,178,1.0
15,6,33,59,178,1.0
16,6,33,59,178,1.0
17,6,33,59,178,1.0
18,6,33,59,178,1.0
19,6,33,59,178,1.0
20,6,33,59,178,1.0
21,6,33,59,178,1.0
22,6,33,58,178,1.0
23,6,33,59,178,1.0
24,6,33,59,178,1.0
25,6,33,58,177,1.0
26,6,33,59,178,1.0
27,6,33,59,178,1.0
28,6,33,59,178,1.0
29,6,33,59,178,1.0
30,6,33,59,178,1.0
31,6,33,58,177,1.0
32,6,33,59,178,1.0
33,6,33,59,178,1.0
34,6,33,59,178,1.0
35,6,33,59,178,1.0
36,6,33,59,178,1.0
37,6,33,59,178,1.0
38,6,33,59,178,1.0
39,6,33,59,178,1.0
40,6,33,59,178,1.0
41,6,33,58,177,1.0
42,6,33,58,177,1.0
43,6,33,59,178,1.0
44,6,33,59,178,1.0
45,6,33,59,178,1.0
46,6,33,59,178,1.0
47,6,33,59,178,1.0
48,6,33,58,177,1.0
49,6,33,58,178,1.0
50,6,33,59,178,1.0
51,6,33,59,178,1.0
52,6,33,58,177,1.0
53,6,33,59,178,1.0
54,6,33,58,177,1.0
55,6,33,58,178,1.0
56,6,33,58,178,1.0
57,6,33,59,178,1.0
58,6,33,59,178,1.0
59,6,33,58,177,1.0
60,6,33,58,178,1.0
61,6,33,59,178,1.0
62,6,33,59,178,0.6
63,6,33,58,177,0.1
80,6,35,58,177,0.0
81,6,33,58,177,0.3
82,6,33,59,178,0.8
83,6,33,59,178,1.0
84,6,33,59,178,1.0
85,6,33,59,178,1.0
86,6,33,58,177,1.0
87,6,33,59,178,1.0
88,6,33,58,177,1.0
89,6,33,58,178,1.0
90,6,33,59,178,1.0
91,6,33,59,178,1.0
92,6,33,59,177,1.0
93,6,33,59,178,1.0
94,6,33,59,178,1.0
95,6,33,59,178,1.0
96,6,33,59,178,1.0
97,6,33,59,178,1.0
98,6,33,59,177,1.0
99,6,33,59,178,1.0
100,6,33,59,178,1.0
101,6,33,59,178,1.0
102,6,33,59,178,1.0
103,6,33,59,178,1.0
104,6,33,59,178,1.0
105,6,33,59,178,1.0
106,6,33,59,178,1.0
107,6,33,59,178,1.0
108,6,33,59,178,1.0
109,6,33,59,178,1.0
110,6,33,59,178,1.0
111,6,33,59,178,1.0
112,6,33,59,178,1.0
113,6,33,59,178,1.0
114,6,33,59,178,1.0
115,6,33,59,177,1.0
116,6,33,59,178,1.0
117,6,33,58,178,1.0
118,6,33,59,178,1.0
119,6,33,59,178,1.0
120,6,33,59,178,1.0
121,6,33,59,178,1.0
122,6,33,59,178,1.0
123,6,32,59,178,0.9
124,6,32,59,177,0.7
125,6,33,59,177,0.3
126,6,33,59,177,0.1
12,7,32,59,178,0.1
13,7,33,59,178,0.7
14,7,33,59,178,1.0
15,7,33,59,178,1.0
16,7,33,59,178,1.0
17,7,33,59,178,1.0
18,7,33,59,178,1.0
19,7,33,59,178,1.0
20,7,33,59,178,1.0
21,7,33,59,178,1.0
22,7,33,59,178,1.0
23,7,33,59,178,1.0
24,7,33,59,178,1.0
25,7,33,59,178,1.0
26,7,33,59,178,1.0
27,7,33,59,178,1.0
28,7,33,59,178,1.0
29,7,33,59,178,1.0
30,7,33,59,178,1.0
31,7,33,59,178,1.0
32,7,33,59,178,1.0
33,7,33,59,178,1.0
34,7,33,59,178,1.0
35,7,33,59,178,1.0
36,7,33,59,178,1.0
37,7,33,59,178,1.0
38,7,33,59,178,1.0
39,7,33,59,178,1.0
40,7,33,59,178,1.0
41,7,33,59,178,1.0
42,7,33,59,178,1.0
43,7,33,59,178,1.0
44,7,33,59,178,1.0
45,7,33,59,178,1.0
46,7,33,59,178,1.0
47,7,33,59,178,1.0
48,7,33,59,178,1.0
49,7,33,59,178,1.0
50,7,33,59,178,1.0
51,7,33,59,178,1.0
52,7,33,59,178,1.0
53,7,33,59,178,1.0
54,7,33,59,178,1.0
55,7,33,59,178,1.0
56,7,33,59,178,1.0
57,7,33,59,178,1.0
58,7,33,59,178,1.0
59,7,33,58,178,1.0
60,7,33,59,178,1.0
61,7,33,59,178,1.0
62,7,33,59,178,0.8
63,7,33,59,178,0.2
79,7,31,59,178,0.0
80,7,32,59,178,0.2
81,7,33,59,178,0.7
82,7,33,59,178,1.0
83,7,33,59,178,1.0
84,7,33,59,178,1.0
85,7,33,59,178,1.0
86,7,33,59,178,1.0
87,7,33,59,178,1.0
88,7,33,59,178,1.0
89,7,33,59,178,1.0
90,7,33,59,178,1.0
91,7,33,59,178,1.0
92,7,33,59,178,1.0
93,7,33,59,177,1.0
94,7,33,59,177,1.0
95,7,33,59,178,1.0
96,7,33,59,178,1.0
97,7,33,59,178,1.0
98,7,33,59,178,1.0
99,7,33,59,178,1.0
100,7,33,59,178,1.0
101,7,33,59,178,1.0
102,7,33,59,178,1.0
103,7,33,59,178,1.0
104,7,33,59,178,1.0
105,7,33,59,178,1.0
106,7,33,59,177,1.0
107,7,33,59,177,1.0
108,7,33,59,178,1.0
109,7,33,59,178,1.0
110,7,33,59,177,1.0
111,7,33,59,177,1.0
112,7,33,59,178,1.0
113,7,33,59,178,1.0
114,7,33,59,178,1.0
115,7,33,59,178,1.0
116,7,33,59,178,1.0
117,7,33,59,178,1.0
118,7,33,59,178,1.0
119,7,33,59,178,1.0
120,7,33,59,178,1.0
121,7,33,59,178,1.0
122,7,33,59,178,1.0
123,7,33,59,177,1.0
124,7,32,59,177,1.0
125,7,33,59,178,0.9
126,7,32,58,177,0.5
127,7,32,58,177,0.2
128,7,34,58,179,0.0
12,8,32,58,177,0.2
13,8,33,59,178,0.8
14,8,33,59,178,1.0
15,8,33,59,178,1.0
16,8,33,59,178,1.0
17,8,33,59,178,1.0
18,8,33,59,178,1.0
